input_text,english_summary
"summarize: topic: Class Absence Request dialogue: #Person1#: Professor, I'm afraid I'll have to miss next week's class.
#Person2#: Is there any way we can reschedule it?
#Person1#: No, I really need to be away. It's quite important.
#Person2#: Have you asked someone to take notes for you?
#Person1#: Yes, I've asked a friend to do that for me.
#Person2#: Just a reminder that you're only allowed one absence per semester.
#Person1#: Yes, I'm aware of that.
#Person2#: Please write down your name and the date on a slip of paper.
#Person1#: I will, thank you.
#Person2#: Alright, then enjoy your day off from class.","#Person1# requested a leave of absence for the upcoming class next week due to important reasons, prompting the professor to guide them through the necessary procedures for the absence."
"summarize: topic: Car Purchase Discussion dialogue: #Person1#: What kind of car do you drive?
#Person2#: Just an old one.
#Person1#: I know it's old, but what brand is it?
#Person2#: It's a Chevrolet. Why do you ask? Are you planning to start a car business or something?
#Person1#: Nothing like that. My cousin is going overseas for work and can't take their car with them, so they want to sell it at a good price. It's almost brand new.
#Person2#: Yeah, I was thinking of getting a slightly newer car these days. Brand new ones are too much of a burden.
#Person1#: Do you want to take a look at my cousin's car?
#Person2#: Is it a four-door or a two-door?
#Person1#: It's a coupe with a vinyl roof.
#Person2#: Is it an automatic transmission?
#Person1#: Yeah, it has power steering, power brakes, and air conditioning too.
#Person2#: I guess I'll have to take a look then.","#Person2# owns an old Chevrolet. #Person1#'s cousin is considering selling the car, and #Person2# decides to inquire about and verify some details regarding the vehicle."
"summarize: topic: Route Guidance dialogue: #Person1#: Excuse me! 
#Person2#: Yes? 
#Person1#: I'm a bit lost. I'm trying to find the East Town shopping mall. 
#Person2#: Did you mean Town Hall? 
#Person1#: No. It's the East Town Mall. 
#Person2#: East Mall? You're lost! That place isn't even close here! The East Town Mall is near the airport. 
#Person1#: Isn't this near the airport? 
#Person2#: Oh, no! It's on the other side of the city from here. Here's what you do. Drive 2-3 miles down this road, and when you see a big hospital on your right, turn left. That's Bloomfield Avenue. Does that make sense? 
#Person1#: Yes, I think so. 
#Person2#: Great. Then drive down Bloomfield Avenue. You'll see the airport on your right, and the mall will be on your left. Okay? 
#Person1#: Yes, thank you. 
#Person2#: Good luck!","#Person2# assists #Person1#, who is lost, by providing directions to the East Town shopping mall."
"summarize: topic: Work Schedule dialogue: #Person1#: Are you busy this week?
#Person2#: Yes, I have a lot on my plate. This morning, I need to finish drafting a work report, and at 1:30 PM, I'm meeting with the general manager to discuss it.
#Person1#: What about tomorrow?
#Person2#: I have an 9 AM sales meeting, followed by a 3 PM meeting with Mr. Black, the marketing manager.
#Person1#: How about Wednesday?
#Person2#: I have an 8:30 AM appointment with Mr. Anderson, the bank manager. In the afternoon, I'm catching a 4:45 PM flight to Hong Kong for a conference.
#Person1#: The conference is on Thursday, right?
#Person2#: Yes, it's at 10 AM and 2 PM. After that, I'll be free. I plan to spend the weekend in Hong Kong.",#Person1# engages in a conversation with #Person2# regarding their hectic work schedule for the upcoming week.
"summarize: topic: Fruit Purchase dialogue: #Person1#: Could I have some fruit? How much is this orange?
#Person2#: Each one is 70 cents.
#Person1#: What about these ones?
#Person2#: They're 60 cents each.
#Person1#: Hmm, I'll take five of the 70-cent ones. And are these grapefruits sweet?
#Person2#: Absolutely! They're incredibly fresh, first of all. We're offering them at a great price, so buying them today is a great choice. They're 80 cents each.
#Person1#: Alright. I'll just get three to try them out.
#Person2#: Thank you very much. Is there anything else you need?
#Person1#: That's all for now. Thank you.","#Person1# purchased five oranges at a total cost of 70 cents each, while #Person2# sold three grapefruits at a discounted price."
"summarize: topic: Transforming Couch dialogue: #Person1#: Hello there, can I assist you with something?
#Person2#: Yes, please. I'm looking for a sofa.
#Person1#: How about this one?
#Person2#: Can it serve as a sofa during the day and convert into a bed at night?
#Person1#: Oh, you're interested in a convertible sofa. Let's head over here. We have the perfect one for you over there.",#Person1# presents #Person2# with the transforming sofa that #Person2# desired.
"summarize: topic: Photo Taking dialogue: #Person1#: The garden is absolutely beautiful! Look at all these tulips!
#Person2#: This would be a great spot for a photo. Can you take a picture of me here, honey? I'd love if the garden is also in the frame.
#Person1#: Sure. Could you stand a bit closer to the flower bed? Great. Smile for me. Say ""cheese."" Okay, I got it. Perfect.
#Person2#: Thanks. Can you take another one from this angle?
#Person1#: No problem.
#Person2#: Now, let's take one together.
#Person1#: Do you know how to set the timer?
#Person2#: Wait a second... First, set the timer and then press the button, come here.
#Person1#: Alright, let's try it.
#Person2#: Cheese...
#Person1#: Did it turn out well?
#Person2#: Yeah, but it's a bit blurry and dark.
#Person1#: It's alright. Let's go to the waterfall and take another one.
#Person2#: Okay, let's go.","#Person1# assists #Person2# by taking several photographs of them in the garden. They collaborate to capture a group photo using a timer setting, but express dissatisfaction with the results. Consequently, they decide to relocate to the waterfall to attempt another photo session."
"summarize: topic: Pregnancy and Contraception dialogue: #Person1#: Who's that person over there?
#Person2#: That's someone who believes in Saint Jude. He's the saint for desperate cases. You know, desperate cases like our cousin Anna. She can't stop getting pregnant.
#Person1#: So the one behind you is your cousin then?
#Person2#: That's right. She's always pregnant. She's not even married, and in the Catholic Church, that's a big sin, you know.
#Person1#: Do contraceptives not work for her? Are they ineffective for Italians or something?
#Person2#: Haha. Talking about contraception or abortion is taboo in our family.
#Person1#: And I heard Italian men have a high sex drive.","During a conversation, #Person1# and #Person2# discuss topics such as contraception, abortion, and the sexual behavior of Italian men, prompted by the mention of #Person2#'s cousin Anna, who is pregnant."
"summarize: topic: Purchasing a Mirror dialogue: #Person1#: Take a look at yourself in the mirror. What do you think? Do you like it?
#Person2#: The style seems a bit outdated. I don't think it's what I'm looking for.
#Person1#: This looks great on you. It's the latest trend.
#Person2#: Oh, right. That's true. I'll take it then.","#Person2# decided to purchase the mirror in the latest fashion style, as recommended by #Person1#."
"summarize: topic: Family Photograph dialogue: #Person1#: Look at this old photo. It seems like it was taken quite a while ago.
#Person2#: Yes, it was taken 71 years ago during World War II. I was just six years old then.
#Person1#: Is that little girl you?
#Person2#: Yes. And the little boy next to her is my younger brother. The couple standing behind us are my parents. This is the only photo we have of our family.
#Person1#: Did you not have any other photos taken together before this one?
#Person2#: Of course, we did. But all the photos were destroyed when a bomb destroyed our house. This photo was the only one that survived because I always carried it with me.
#Person1#: Didn't you take any photos after the explosion?
#Person2#: Well, it's a sad story, but my father passed away in that bombing.
#Person1#: That's unfortunate. The war left many people with sad memories.
#Person2#: Yes, it did. That's why I'm so grateful to be living a peaceful life these days.","#Person1# and #Person2# are discussing a family photograph belonging to #Person2#. All other photographs were destroyed in a bombing raid, and #Person2#'s father passed away during that same raid."
